data,value,tipo
28/02/2020,23,me
04/03/2020,22,me
14/03/2020,48,me
21/03/2020,53,me
06/04/2020,52,me
14/04/2020,54,me
20/04/2020,52,me
05/05/2020,43,me
12/05/2020,40,me
19/05/2020,39,me
26/05/2020,38,me
03/06/2020,36,me
09/06/2020,33,me
07/07/2020,34,me
14/07/2020,35,me
28/07/2020,30,me
03/08/2020,32,me
02/09/2020,34,me
17/09/2020,35,me
01/10/2020,35,me
16/10/2020,38,me
30/10/2020,42,me
26/11/2020,45,me
07/01/2021,44,me
21/01/2021,42,me
04/02/2021,40,me
18/02/2021,42,me
01/04/2021,44,me
15/04/2021,43,me
28/02/2020,53,mondo
04/03/2020,50,mondo
14/03/2020,82,mondo
21/03/2020,87,mondo
06/04/2020,86,mondo
14/04/2020,87,mondo
20/04/2020,88,mondo
05/05/2020,82,mondo
12/05/2020,81,mondo
19/05/2020,79,mondo
26/05/2020,81,mondo
03/06/2020,76,mondo
09/06/2020,75,mondo
07/07/2020,76,mondo
14/07/2020,82,mondo
28/07/2020,80,mondo
03/08/2020,78,mondo
02/09/2020,74,mondo
17/09/2020,78,mondo
01/10/2020,77,mondo
16/10/2020,78,mondo
30/10/2020,80,mondo
26/11/2020,81,mondo
07/01/2021,79,mondo
21/01/2021,79,mondo
04/02/2021,76,mondo
18/02/2021,79,mondo
01/04/2021,75,mondo
15/04/2021,76,mondo
